aluminium,arsenic,cadmium,chloramine,chromium,is_safe
2.96,0.02,0.001,6.53,0.9,0
3.25,0.01,0.005,2.16,0.8,1
3.72,0.001,0.002,2.83,0.48,1
1.51,0.03,0.007,7.57,0.15,0
4.04,0.01,0.003,3.54,0.45,1
4.44,0.001,0.008,1.39,0.3,0
0.35,0.02,0.004,4.57,0.51,1
4.15,0.03,0.007,3.15,0.76,1
1.54,0.001,0.004,4.71,0.19,1
1.71,0.05,0.006,6.48,0.49,1
0.15,0.03,0.002,2.73,0.39,1
4.76,0.01,0.001,0.06,0.46,1
4.12,0.02,0.002,4.26,0.89,0
0.7,0.001,0.008,4.36,0.84,1
2.69,0.001,0.001,2.03,0.23,0
1.5,0.05,0.001,5.45,0.7,0
4.12,0.04,0.008,1.58,0.86,0
2.69,0.04,0.002,6.24,0.41,0
2.34,0.01,0.002,2.77,0.09,0
1.91,0.04,0.008,3.93,0.69,0
0.05,0.04,0.008,4.77,0.74,0
0.87,0.03,0.005,7.79,0.65,1
2.99,0.001,0.008,1.43,0.35,1
4.96,0.03,0.001,1.73,0.64,1
2.79,0.01,0.005,6.89,0.41,1
3.13,0.02,0.002,0.81,0.83,1
4.7,0.03,0.005,6.93,0.41,1
1.22,0.03,0.004,6.27,0.23,0
0.36,0.04,0.006,5.85,0.75,1
3.57,0.04,0.001,5.14,0.61,1
0.01,0.03,0.002,6.71,0.48,1
4.13,0.03,0.006,1.3,0.79,0
2.06,0.03,0.007,1.78,0.48,1
4.05,0.001,0.005,5.24,0.61,1
4.98,0.04,0.001,5.89,0.73,1
4.55,0.04,0.001,1.23,0.77,1
2.77,0.001,0.002,5.47,0.54,1
1.52,0.02,0.006,3.29,0.46,1
4.95,0.01,0.001,4.07,0.56,1
0.19,0.02,0.008,7.59,0.34,1
1.45,0.02,0.005,4.18,0.53,1
3.44,0.02,0.004,4.15,0.48,0
2.01,0.02,0.002,4.42,0.59,0
2.69,0.04,0.001,0.81,0.05,1
2.45,0.001,0.006,0.71,0.24,1
0.5,0.03,0.002,5.57,0.19,1
4.08,0.04,0.004,1.88,0.15,0
3.52,0.02,0.001,7.3,0.55,1
2.24,0.03,0.003,4.16,0.54,1
2.97,0.02,0.004,2.94,0.16,0
3.63,0.03,0.008,7.02,0.16,0
2.97,0.01,0.009,3.48,0.62,0
2.61,0.03,0.005,2,0.13,0
0.95,0.01,0.007,4.11,0.28,1
1.65,0.04,0.002,3.42,0.82,1
2.94,0.02,0.001,4.36,0.17,0
2.08,0.03,0.002,3.51,0.36,1
0.8,0.04,0.004,6.29,0.52,0
1.37,0.04,0.002,5.42,0.43,0
4.64,0.04,0.007,7.97,0.49,0
1.49,0.04,0.001,7.21,0.55,1
1.08,0.03,0.008,6.26,0.56,1
4.11,0.03,0.007,4.51,0.75,1
3.36,0.02,0.005,1.74,0.7,1
2.1,0.02,0.008,4.75,0.49,1
4.85,0.01,0.001,6.81,0.87,1
0.71,0.02,0.002,0.12,0.02,1
0.48,0.001,0.001,4.07,0.83,0
0.19,0.001,0.002,1.03,0.13,0
4.77,0.02,0.001,2.4,0.3,1
2.2,0.04,0.003,4.52,0.52,1
0.11,0.04,0.001,6.99,0.21,1
2.22,0.03,0.007,7.17,0.27,1
2.08,0.01,0.003,1.22,0.52,1
2.88,0.03,0.002,6.13,0.29,1
0.76,0.001,0.007,7.87,0.37,0
1.37,0.001,0.006,0.25,0.45,0
2.21,0.03,0.007,4.1,0.11,1
0.72,0.04,0.005,7.21,0.06,0
0.17,0.04,0.004,7.22,0.24,0
2.1,0.001,0.005,1.04,0.64,1
1.08,0.04,0.006,2.29,0.88,1
4.08,0.03,0.005,5.67,0.84,1
4.5,0.01,0.005,3.31,0.86,1
2.05,0.03,0.005,4.74,0.14,1
1.55,0.01,0.006,0.21,0.85,1
0.41,0.02,0.005,0.6,0.8,1
0.97,0.03,0.006,2.16,0.1,1
4.25,0.04,0.008,0.4,0.37,1
4.04,0.03,0.009,5.59,0.79,0
1.19,0.01,0.002,1.67,0.2,1
4.23,0.05,0.001,4.37,0.88,0
2.28,0.04,0.004,3.47,0.41,0
0.96,0.001,0.006,0.2,0.18,1
2.08,0.01,0.009,4.03,0.59,0
4.6,0.05,0.007,0.66,0.53,0
4.65,0.01,0.008,5.35,0.13,1
2.78,0.04,0.006,1.09,0.33,1
3.97,0.001,0.001,3.41,0.43,1
0.46,0.04,0.001,3.04,0.68,1
0.95,0.03,0.001,0.37,0.65,0
3,0.01,0.001,2.14,0.39,1
1.87,0.03,0.008,6.16,0.37,1
3.59,0.04,0.004,6,0.78,1
4.03,0.05,0.008,1.84,0.32,1
1.06,0.001,0.006,0.23,0.36,1
1.22,0.01,0.007,4.02,0.08,1
4.03,0.02,0.005,3.96,0.4,1
2.67,0.03,0.006,5.68,0.25,1
2.24,0.03,0.008,5.12,0.13,1
2.63,0.04,0.007,0.78,0.9,1
4.38,0.01,0.009,1.36,0.67,1
3.59,0.04,0.004,4.7,0.62,1
0.82,0.001,0.002,4.34,0.72,0
2.01,0.04,0.005,4.56,0.52,1
3.15,0.01,0.003,3.75,0.61,1
3.25,0.04,0.001,5.1,0.76,1
4.06,0.02,0.003,1.84,0.55,1
0.95,0.03,0.008,7.49,0.76,0
4.49,0.01,0.002,7.43,0.29,1
1.88,0.04,0.008,7.81,0.44,1
1.39,0.05,0.005,6.77,0.24,0
1.39,0.02,0.007,1.8,0.27,1
3.81,0.03,0.001,2.89,0.25,0
3.09,0.03,0.005,0.93,0.58,0
3.01,0.05,0.003,2.27,0.71,0
2.01,0.02,0.005,0.3,0.08,0
3.02,0.04,0.001,6.5,0.3,0
1.92,0.05,0.008,1.58,0.42,1
3.38,0.01,0.009,3.05,0.49,1
1.03,0.01,0.005,2.5,0.62,1
0.92,0.03,0.001,7.24,0.14,1
4.93,0.04,0.005,6.85,0.4,1
4.87,0.02,0.001,0.39,0.48,0
1.48,0.05,0.005,1.81,0.27,1
3.51,0.02,0.005,4.96,0.46,0
3.69,0.03,0.004,4.26,0.62,1
2.78,0.001,0.008,2.97,0.32,0
1.75,0.05,0.005,0.46,0.45,0
3.85,0.03,0.001,4.85,0.82,1
3.61,0.02,0.009,6.53,0.38,1
3.18,0.03,0.008,0,0.88,1
3.74,0.001,0.005,2.71,0.13,1
4.82,0.001,0.007,2.98,0.08,1
0.75,0.01,0.001,4.5,0.66,0
0.23,0.02,0.007,2.29,0.25,0
4.98,0.04,0.007,2.83,0.19,1
2.38,0.04,0.002,6.13,0.08,1
0.92,0.04,0.007,2.34,0.82,1
4.44,0.04,0.005,7.81,0.02,0
3.01,0.01,0.003,3.41,0.46,1
3.62,0.02,0.003,5,0.54,1
0.71,0.03,0.006,0.08,0.72,1
0.25,0.01,0.005,5.21,0.85,1
0.53,0.001,0.001,1.51,0.26,1
3.79,0.04,0.001,3.96,0.6,1
3.07,0.03,0.004,6.57,0.87,0
2.47,0.04,0.002,2.52,0.45,1
1.82,0.03,0.001,3.78,0.87,1
4.35,0.03,0.001,0.32,0.84,1
3.99,0.01,0.003,1.57,0.35,1
1.83,0.04,0.001,3,0.33,0
0.21,0.04,0.005,3.17,0.49,1
3.08,0.02,0.004,3.61,0.3,0
1.94,0.04,0.007,2.07,0.81,0
1.93,0.01,0.006,3.21,0.5,1
0.55,0.001,0.006,4.58,0.43,1
1.08,0.02,0.001,2.41,0.54,1
